,,,,,,NBO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246
sp2,1,C,1,-,C,2,-0.6159,-0.1395,0.1072,-0.1225,-0.1251,-0.0186,0.0197,-0.0181,0.0202,0.001,-0.0002,-0.0008,-0.008,-0.0024,0.0018,0.0008,-0.0021,0.0002,-0.0008,0.02,0.0145,0.0005,0.0079,-0.0006,0.0017,-0.0091,-0.6832,-0.648,-0.0024,0.0062,0.0008,0.0005,-0.0044,0.0005,-0.0008,-0.0085,0.0083,-0.0016,-0.0003,-0.0036,-0.0008,-0.001,-0.0011,0.0002,-0.0002,0,0.0001,0,0,0,-0.0006,0.0001,0,-0.0001,-0.0068,0.0124,0.0003,0.0007,0.0152,-0.0058,0.0057,0,-0.0048,-0.0086,-0.0038,0,0.0004,0.0199,0.0005,0.0075,-0.0082,0.0033,0.0237,-0.0498,0,-0.0001,0.0112,0.0004,0.0064,-0.0041,0.0042,0.0372,0.0029,0.0001,-0.0004,-0.0081,-0.0001,-0.0005,0.0101,0.0006,0.0017,0.0043,0,0.0001,-0.001,-0.0055,0.001,0.0001,-0.0024,0.0023,0.0001,-0.0001,0,0.0059,0.0001,0.0034,-0.0064,0.0036,0.0135,0.0063,-0.0001,-0.0102,-0.0004,0.0057,-0.0058,-0.0002,-0.002,-0.0031,-0.0002,0,0.0012,0.0001,-0.0031,0.0001,0,-0.0022,0.0005,0.0006,-0.0001,-0.0001,0,-0.0001,-0.0003,0,0.0002,-0.0032,-0.0015,0.0001,0.0008,0.0001,0.0001,0.0014,0,0.0012,-0.0386,-0.0075,-0.0001,-0.0018,0.0002,0.0107,0.006,-0.0001,0,0.0105,0.0037,-0.0001,-0.0031,-0.0004,0.0029,0.0051,-0.0001,0.0002,0.0008,-0.0007,0.0001,-0.002,-0.0002,0.0001,0.0022,-0.0001,-0.0021,-0.0108,-0.0004,-0.0001,-0.0052,-0.0003,0.0052,-0.0008,-0.0002,-0.0013,0.0044,-0.0001,-0.0027,0.0048,-0.0018,0.0001,-0.0013,0.0033,0.0004,0,0.0002,0.0012,-0.0017,0.0001,0.0008,0.0035,0.0122,-0.0002,0.0096,-0.0153,0.0004,-0.0001,-0.0005,-0.0001,0,0,-0.0005,-0.0008,-0.0002,0.0001,-0.0011,-0.0033,0.0008,0,0.0001,0.0004,0.0009,0,0.0004,-0.0007,-0.0024,0.0506,0.0296,-0.0602,-0.0573,-0.003,-0.0564,-0.0029,-0.0528,0.0003,-0.0022,-0.003,0.0032,0.0071,0.001,-0.0027,-0.001,-0.0018,-0.0024,-0.0459,0.0011,-0.0084,-0.0029,-0.0082,0.0004,0.0033
sp2,2,C,1,-,C,3,-0.1395,-0.6155,0.1072,-0.0185,0.0198,-0.1226,-0.1249,0.001,-0.0008,-0.0181,-0.0002,0.0202,0.02,0.0145,-0.0005,-0.0079,-0.0006,-0.0017,-0.0091,-0.008,-0.0025,-0.0018,-0.0008,-0.0021,-0.0002,-0.0008,-0.6828,-0.0024,-0.6476,0.0005,0.0008,0.0061,0.0084,-0.0016,-0.0003,-0.0035,-0.0044,0.0005,-0.0008,-0.0085,-0.0009,-0.0011,-0.001,0.0001,-0.0001,0.0002,-0.0006,0.0001,0,-0.0001,0.0001,0,0,0,-0.0068,-0.0124,0.0003,-0.0004,0.0152,0.0058,0.0057,0,-0.0048,0.0237,-0.0498,0,-0.0002,0.0112,0.0004,0.0064,-0.004,0.0042,-0.0086,-0.0038,0,0.0004,0.0199,0.0005,0.0075,-0.0082,0.0033,0.0023,0.0001,-0.0001,0,0.0059,0.0001,0.0033,-0.0065,0.0036,0.0017,-0.0044,0,-0.0002,-0.001,0.0055,0.001,0.0001,-0.0024,0.0372,0.003,0.0001,-0.0003,-0.0081,-0.0001,-0.0006,0.0101,0.0006,-0.0386,-0.0075,-0.0001,-0.0017,0.0001,0.0107,0.006,-0.0001,0,0.0105,0.0037,-0.0001,-0.0031,-0.0004,0.0029,0.0051,-0.0001,0.0002,0.0009,-0.0007,0.0001,-0.002,-0.0002,0.0002,0.0022,-0.0001,-0.0021,-0.0108,-0.0004,-0.0001,-0.0052,-0.0003,0.0052,-0.0007,-0.0002,-0.0013,0.0135,0.0063,-0.0001,-0.0102,-0.0003,0.0057,-0.0057,-0.0002,-0.002,-0.0031,-0.0002,0,0.0012,0.0001,-0.0031,0.0001,0,-0.0022,0.0005,0.0006,-0.0001,-0.0001,0,-0.0001,-0.0003,0,0.0002,-0.0032,-0.0015,0.0001,0.0008,0.0001,0.0001,0.0014,0,0.0012,-0.0002,0.0001,-0.0011,-0.0033,0.0008,0,0.0001,0.0004,0,0,-0.0005,-0.0008,0.0004,-0.0001,-0.0005,-0.0001,0.0122,-0.0002,-0.0096,-0.0153,-0.0017,0.0001,0.0008,0.0035,0.0004,-0.0001,0.0002,0.0012,0.0044,-0.0001,-0.0027,0.0048,-0.0018,0.0001,-0.0013,0.0033,0.0009,0,-0.0004,-0.0007,0.0506,-0.0024,0.0295,-0.003,-0.0564,-0.0601,-0.0572,0.0003,-0.0029,-0.0029,-0.0022,-0.0529,-0.0459,0.0011,0.0084,0.0029,-0.0082,-0.0004,0.0033,0.0032,0.0071,-0.001,0.0027,-0.001,0.0018,-0.0024
CHsp2,3,C,1,-,H,19,0.1072,0.1072,-0.4585,-0.0281,0.0148,-0.0281,0.0148,0.0002,0.0093,0.0002,0.0032,0.0093,-0.0022,-0.0046,-0.0026,0.0009,0.001,-0.0004,-0.0009,-0.0022,-0.0046,0.0026,-0.0009,0.001,0.0004,-0.0009,0.5259,-0.0305,-0.0304,0.0035,0.0009,0.0034,-0.0032,0.0091,0.0003,-0.0011,-0.0032,0.0091,0.0003,-0.0011,-0.0002,0.0003,0.0004,-0.0001,0.0001,-0.0001,0.0001,0,0,0,0.0001,0,0,0,-0.0049,0,-0.0001,-0.0001,-0.0073,0,0.0096,-0.0001,-0.0102,0.0237,-0.0128,-0.0002,-0.0002,-0.0035,-0.0005,-0.0128,-0.003,-0.0041,0.0237,-0.0128,-0.0002,-0.0002,-0.0035,-0.0005,-0.0128,-0.0029,-0.0041,0.0086,-0.0028,0,0,0.0039,-0.0001,-0.0044,-0.0068,0.0008,-0.0002,0,0.0001,0,0.0014,0,-0.0013,0,0.0046,0.0086,-0.0028,0,0,0.0039,-0.0001,-0.0044,-0.0068,0.0008,0.0032,0.0018,0,-0.0022,0,0.0065,0.0043,-0.0002,-0.0013,-0.0014,0.0002,0,0.002,0.0003,-0.0014,-0.0009,0,-0.001,0.0002,0.0007,0,-0.0002,0,-0.0006,0.0002,0,0.0006,-0.0035,0.0004,0,0.0003,0,0.0029,-0.0018,0,0.0028,0.0032,0.0018,0,-0.0022,0,0.0065,0.0043,-0.0002,-0.0013,-0.0014,0.0002,0,0.002,0.0003,-0.0014,-0.0009,0,-0.001,0.0002,0.0007,0,-0.0002,0,-0.0006,0.0002,0,0.0006,-0.0035,0.0004,0,0.0003,0,0.0029,-0.0018,0,0.0028,-0.0053,0,-0.002,0.0017,-0.0003,0,0.0014,0,-0.0006,0,-0.0001,0.0006,-0.0013,0,-0.0002,0.0002,-0.0016,0,0,0.0013,-0.0013,0,-0.0002,0.0002,-0.0006,0,-0.0001,0.0006,-0.0053,0,-0.0019,0.0017,-0.0003,0,0.0014,0,0.0004,0,0,-0.0006,-0.0257,-0.0256,-0.0045,0.0612,-0.0081,0.0611,-0.0081,0.0061,-0.0064,0.0061,-0.0021,-0.0064,0.0081,-0.0109,0,0.0022,0.0005,0.002,0.0025,0.0081,-0.0109,0,-0.0022,0.0005,-0.002,0.0025
sp2,4,C,2,-,C,4,-0.1225,-0.0185,-0.0281,-0.6094,-0.1231,-0.0012,0.0005,-0.1225,-0.123,-0.0186,0.0281,0.0005,-0.0016,0.0026,0.0022,0,-0.0016,0,-0.0026,-0.0186,-0.0282,-0.0007,-0.0008,-0.0186,-0.0008,0.0282,0.0091,-0.6542,0.002,-0.6541,0.0089,0.002,-0.0084,-0.0019,-0.0019,-0.0084,0.0076,0.001,0.001,0.0076,-0.0005,0,-0.0002,0,-0.0006,-0.0002,0,0,0,0,-0.0005,-0.0001,-0.0001,-0.0004,0.0289,0.0198,-0.0004,0.0001,-0.0052,-0.0134,0.0012,0.0001,0.0024,-0.001,0.014,0.0002,0.0001,0.014,0.0005,0.0063,0.0148,-0.0008,0.0111,-0.0037,0.0001,0,-0.001,0.0002,0.0045,0.0064,-0.0043,-0.001,0.014,0.0003,0.0001,0.014,0.0005,0.0063,0.0148,-0.0008,0.0289,-0.0198,-0.0004,-0.0002,-0.0052,0.0134,0.0012,0.0001,0.0024,0.0112,-0.0036,0.0001,0,-0.001,0.0002,0.0044,0.0064,-0.0043,0.0011,-0.0008,0.0001,-0.0028,-0.0001,-0.0003,-0.0009,-0.0001,-0.0001,-0.0022,-0.0009,0,-0.0017,-0.0002,0.0004,-0.0001,-0.0001,-0.0012,-0.0022,-0.0009,0,-0.0017,-0.0002,0.0004,-0.0001,-0.0001,-0.0012,0.0011,-0.0008,0.0001,-0.0028,-0.0002,-0.0003,-0.0009,-0.0001,-0.0001,0.0325,0.0122,-0.0004,-0.0065,0,0.0092,-0.0101,0.0001,0.0024,-0.0064,0.0006,0,-0.0036,-0.0004,-0.0071,0.0011,-0.0001,-0.003,-0.0064,0.0006,0,-0.0036,-0.0004,-0.0071,0.0012,-0.0001,-0.003,0.0326,0.0123,-0.0004,-0.0065,-0.0002,0.0091,-0.0101,0.0001,0.0024,0.0051,0,-0.0037,-0.0044,0.0004,0,-0.0001,0.0005,0.0004,0,-0.0001,0.0005,0.0051,0,-0.0037,-0.0044,0.005,0,-0.003,-0.0048,0.0004,0,0.0007,0.0005,0.0009,0,0.0004,-0.0001,0.0004,0,0.0007,0.0005,0.0009,0,0.0004,-0.0001,0.005,0,0.003,-0.0047,-0.0582,0.0029,0.0442,0,-0.0574,0,-0.0042,-0.058,-0.0573,0.0029,-0.0441,-0.0042,-0.0041,0.0011,0,-0.0009,-0.0041,-0.0009,-0.0011,-0.0035,0.0445,0,0.0019,-0.0035,0.0019,-0.0445
sp2,5,C,2,-,C,11,-0.1251,0.0198,0.0148,-0.1231,-0.6184,0.0005,-0.0066,0.0202,-0.0183,-0.0008,-0.0093,-0.001,0.0008,0.0018,0.0003,-0.0007,-0.0002,-0.0002,0,-0.1368,0.107,-0.0192,-0.027,0.0004,-0.0006,-0.0001,0.0082,-0.6451,-0.001,0.0063,-0.004,-0.0002,0.0005,-0.0005,0.0002,0.0022,-0.6849,-0.0043,0.0005,0.0001,-0.001,-0.0009,0.0002,0.0001,-0.0001,0,0,0,0,0,-0.0007,-0.0004,0,-0.0001,-0.0335,-0.0206,-0.0001,0,-0.0009,-0.005,0.0109,-0.0001,-0.0044,0.0091,-0.0038,0.0004,-0.0001,0.0201,-0.0002,-0.0126,0.0001,0.0018,-0.0143,0.0009,-0.0002,-0.0001,0.0019,0,0.0055,-0.0021,0.0033,-0.0393,-0.002,-0.0002,0.0002,-0.0063,0.0004,0.009,0.0061,0.0006,-0.0112,0.0029,0.0001,-0.0001,-0.004,0.004,0.0034,-0.0002,-0.0024,-0.0006,0.0005,0.0001,0,-0.0002,0.0001,0.0032,0.0003,-0.0002,-0.0018,-0.0022,0.0001,0.002,0.0001,-0.0041,-0.0015,0.0001,-0.0002,0.0019,-0.0007,0,-0.0004,0,0.0007,-0.0006,0,0.0008,0.0011,0.0001,0,0,0,0.0006,0.0001,0,0.0003,0.0007,-0.0005,-0.0001,-0.0009,-0.0001,-0.0018,0,0,-0.0014,-0.0039,0.0149,-0.0002,0.0095,0.0001,0.0128,0.003,-0.0002,-0.003,-0.0362,0.0316,-0.0002,-0.0015,-0.0002,0.0087,0.0039,0.0001,0.0021,-0.0054,-0.001,0,-0.0004,0,0.0084,0.0008,-0.0002,-0.0018,0.001,-0.003,0.0001,0.0001,0,-0.0036,0.0064,0,-0.0012,0.011,0.0002,0.0073,-0.0162,0.0062,0,-0.0063,-0.0051,0.0005,0.0001,0.0008,-0.0003,0.0006,0,-0.0002,-0.0004,0.0044,0,-0.0034,0.0038,0.0004,0,0.0003,-0.0003,-0.0002,0,-0.0002,0.0003,-0.0011,0,0.0018,0.0001,-0.0005,0,0.0004,-0.0001,-0.002,0,-0.0002,0.0034,-0.0583,0.0461,0.0001,-0.0596,-0.0029,-0.0085,0.0019,-0.0533,-0.0026,0.0082,0.0034,-0.0007,-0.0045,0.0001,0.0001,0,-0.0002,-0.0002,-0.0005,-0.0481,0.0288,-0.0049,0.0457,0.0012,0.0029,-0.0025
sp2,6,C,3,-,C,6,-0.0186,-0.1226,-0.0281,-0.0012,0.0005,-0.6096,-0.123,-0.0185,0.0005,-0.1225,0.0281,-0.1231,-0.0185,-0.0282,0.0007,0.0008,-0.0186,0.0008,0.0282,-0.0016,0.0026,-0.0022,0,-0.0016,0,-0.0026,0.0089,0.002,-0.6543,0.002,0.009,-0.6542,0.0077,0.001,0.001,0.0075,-0.0084,-0.0019,-0.0018,-0.0084,-0.0006,-0.0002,0,-0.0002,-0.0005,0,-0.0005,-0.0001,-0.0001,-0.0005,0,0,0,0,0.0289,-0.0199,-0.0004,-0.0002,-0.0053,0.0134,0.0012,0.0001,0.0024,0.0112,-0.0037,0.0001,0,-0.001,0.0001,0.0044,0.0064,-0.0043,-0.001,0.014,0.0003,0.0001,0.014,0.0005,0.0063,0.0148,-0.0007,0.0111,-0.0037,0.0001,0,-0.001,0.0002,0.0044,0.0064,-0.0043,0.0289,0.0198,-0.0003,0.0001,-0.0052,-0.0134,0.0012,0.0001,0.0024,-0.001,0.014,0.0003,0.0001,0.014,0.0005,0.0061,0.0149,-0.0008,0.0325,0.0122,-0.0004,-0.0065,-0.0001,0.0092,-0.0101,0.0001,0.0024,-0.0063,0.0006,0,-0.0036,-0.0004,-0.0071,0.0012,-0.0001,-0.003,-0.0064,0.0006,0,-0.0036,-0.0004,-0.0071,0.0013,-0.0001,-0.003,0.0326,0.0123,-0.0004,-0.0065,-0.0001,0.0091,-0.0102,0.0001,0.0023,0.0011,-0.0008,0.0001,-0.0028,-0.0001,-0.0003,-0.0009,-0.0001,-0.0001,-0.0022,-0.0009,0,-0.0017,-0.0002,0.0004,-0.0001,-0.0001,-0.0012,-0.0022,-0.0009,0,-0.0017,-0.0002,0.0004,-0.0001,-0.0001,-0.0012,0.0011,-0.0008,0.0001,-0.0028,-0.0002,-0.0003,-0.0009,-0.0001,-0.0001,0.0004,0,0.0007,0.0005,0.0009,0,0.0004,-0.0001,0.0009,0,0.0004,-0.0001,0.0004,0,0.0007,0.0005,0.005,0,0.003,-0.0047,0.0051,0,-0.0037,-0.0044,0.0004,0,-0.0001,0.0005,0.0051,0,-0.0037,-0.0044,0.0004,0,-0.0001,0.0005,0.005,0,-0.003,-0.0048,0.0029,-0.0581,0.0442,0,-0.0042,0,-0.0574,0.0029,-0.0042,-0.0581,-0.0442,-0.0573,-0.0035,0.0444,0,-0.0019,-0.0035,-0.002,-0.0444,-0.0041,0.0011,0,0.0009,-0.0041,0.0009,-0.0011
sp2,7,C,3,-,C,7,0.0197,-0.1249,0.0148,0.0005,-0.0066,-0.123,-0.6184,-0.0008,-0.001,0.0202,-0.0093,-0.0183,-0.1368,0.107,0.0193,0.027,0.0003,0.0006,-0.0001,0.0008,0.0018,-0.0003,0.0007,-0.0002,0.0002,0,0.0084,-0.001,-0.6451,-0.0003,-0.0041,0.0064,-0.6847,-0.0043,0.0005,0.0001,0.0005,-0.0005,0.0002,0.0022,-0.0011,0.0002,-0.0009,0,-0.0001,0.0002,-0.0007,-0.0005,0,-0.0001,0,0,0,0,-0.0334,0.0207,-0.0001,0,-0.001,0.005,0.0109,-0.0001,-0.0044,-0.0143,0.0009,-0.0002,-0.0001,0.0019,0,0.0055,-0.0021,0.0032,0.0092,-0.0038,0.0004,-0.0001,0.0201,-0.0002,-0.0125,0.0001,0.0018,-0.0006,0.0005,0.0001,0,-0.0002,0.0001,0.0032,0.0003,-0.0002,-0.0112,-0.0028,0.0001,0.0001,-0.004,-0.0041,0.0034,-0.0002,-0.0024,-0.0393,-0.0021,-0.0002,0.0002,-0.0063,0.0004,0.009,0.0061,0.0006,-0.0039,0.0149,-0.0002,0.0095,0.0002,0.0127,0.003,-0.0002,-0.003,-0.0361,0.0316,-0.0002,-0.0015,-0.0002,0.0087,0.0039,0.0001,0.002,-0.0055,-0.001,0,-0.0004,0,0.0084,0.0006,-0.0002,-0.0018,0.001,-0.003,0,0.0001,0,-0.0036,0.0064,0,-0.0012,-0.0018,-0.0022,0.0001,0.002,0.0001,-0.0041,-0.0015,0.0001,-0.0002,0.0019,-0.0007,0,-0.0004,0,0.0007,-0.0006,0,0.0008,0.0011,0.0001,0,-0.0001,0,0.0006,0.0001,0,0.0003,0.0007,-0.0005,-0.0001,-0.0009,-0.0001,-0.0018,0,0,-0.0014,-0.0011,0,0.0018,0.0001,-0.0005,0,0.0004,-0.0001,-0.0002,0,-0.0002,0.0003,0.0004,0,0.0003,-0.0003,0.0044,0.0001,0.0034,0.0038,0.0006,0,-0.0002,-0.0004,0.0005,0.0001,0.0008,-0.0003,0.011,0.0002,0.0073,-0.0162,0.0062,0,-0.0063,-0.0051,-0.002,0,0.0002,0.0034,0.046,-0.0582,0.0001,-0.0085,0.0019,-0.0596,-0.0029,0.0082,-0.0007,-0.0534,0.0034,-0.0026,-0.048,0.0288,0.0049,-0.0456,0.0012,-0.003,-0.0025,-0.0045,0.0001,-0.0001,0,-0.0002,0.0002,-0.0005
sp2,8,C,4,-,C,5,-0.0181,0.001,0.0002,-0.1225,0.0202,-0.0185,-0.0008,-0.6154,-0.1248,-0.1394,-0.1073,0.0198,-0.0021,0.0008,0.0018,0.0002,-0.008,0.0008,0.0024,-0.0006,0.0091,0.0005,0.0017,0.02,0.0079,-0.0145,0.0008,0.0061,0.0005,-0.6474,-0.6825,-0.0024,-0.0085,-0.0008,0.0005,-0.0044,-0.0036,-0.0003,-0.0016,0.0086,-0.0001,0.0002,0.0001,-0.001,-0.0009,-0.0011,0,0,0,0.0001,-0.0001,0,0.0001,-0.0006,0.0017,-0.0044,0,-0.0002,-0.001,0.0055,0.001,0.0001,-0.0024,0.0372,0.0029,0.0001,-0.0003,-0.0081,-0.0001,-0.0005,0.0101,0.0006,0.0023,0.0001,-0.0001,0.0001,0.0059,0.0001,0.0033,-0.0065,0.0036,-0.0086,-0.0038,0,0.0004,0.0199,0.0005,0.0075,-0.0082,0.0033,-0.0068,-0.0124,0.0003,-0.0004,0.0152,0.0058,0.0056,0,-0.0048,0.0239,-0.0497,0,-0.0002,0.0112,0.0004,0.0064,-0.004,0.0042,-0.0032,-0.0015,0.0001,0.0008,0.0001,0.0001,0.0014,0,0.0012,0.0005,0.0006,-0.0001,-0.0001,0,-0.0001,-0.0003,0,0.0002,-0.0031,-0.0002,0,0.0012,0.0001,-0.0031,0.0002,0,-0.0022,0.0134,0.0063,-0.0001,-0.0102,-0.0005,0.0057,-0.0058,-0.0002,-0.002,-0.0108,-0.0004,-0.0001,-0.0052,-0.0002,0.0052,-0.0007,-0.0002,-0.0013,0.0008,-0.0007,0.0001,-0.002,-0.0002,0.0001,0.0022,-0.0001,-0.0021,0.0105,0.0037,-0.0001,-0.0031,-0.0004,0.003,0.0051,-0.0001,0.0002,-0.0385,-0.0075,-0.0001,-0.0017,0.0001,0.0107,0.0059,-0.0001,0,-0.0017,0.0001,0.0008,0.0035,0.0004,-0.0001,0.0002,0.0012,-0.0018,0.0001,-0.0013,0.0033,0.0044,-0.0001,-0.0027,0.0048,0.0009,0,-0.0004,-0.0007,-0.0002,0.0001,-0.0011,-0.0033,0.0008,0,0.0001,0.0004,0.0004,-0.0001,-0.0005,-0.0001,0,0,-0.0005,-0.0008,0.0122,-0.0002,-0.0096,-0.0153,-0.0029,0.0003,0.0022,0.06,-0.0529,0.003,-0.0029,-0.0024,-0.0572,0.0505,-0.0295,-0.0564,-0.001,0.0024,-0.001,-0.0017,0.0032,-0.0027,-0.0071,-0.0082,-0.0033,0.0084,0.0004,-0.0458,-0.0029,-0.0011
sp2,9,C,4,-,C,14,0.0202,-0.0008,0.0093,-0.123,-0.0183,0.0005,-0.001,-0.1248,-0.6184,0.0197,-0.0147,-0.0066,-0.0002,0,0.0003,-0.0002,0.0008,-0.0007,-0.0018,0.0004,0.0001,-0.0192,-0.0006,-0.1367,-0.027,-0.107,-0.0041,0.0064,-0.0003,-0.645,0.0085,-0.001,0.0022,0.0002,-0.0005,0.0005,0.0001,0.0005,-0.0043,-0.6846,-0.0001,0.0002,0,-0.0008,-0.001,0.0002,0,0,0,0,-0.0001,0,-0.0005,-0.0007,-0.0112,-0.0028,0.0001,0.0001,-0.004,-0.0041,0.0034,-0.0002,-0.0024,-0.0393,-0.002,-0.0002,0.0002,-0.0063,0.0004,0.0091,0.006,0.0006,-0.0006,0.0005,0.0001,0,-0.0002,0.0001,0.0032,0.0003,-0.0002,0.0092,-0.0038,0.0004,-0.0001,0.0201,-0.0002,-0.0125,0.0001,0.0018,-0.0333,0.0207,-0.0001,0,-0.0009,0.005,0.0109,-0.0001,-0.0044,-0.0143,0.0008,-0.0002,-0.0001,0.0019,0,0.0055,-0.002,0.0032,0.0007,-0.0005,-0.0001,-0.0009,-0.0001,-0.0018,0,0,-0.0014,0.0011,0.0001,0,0,0,0.0006,0.0001,0,0.0003,0.0019,-0.0007,0,-0.0004,0,0.0007,-0.0006,0,0.0008,-0.0018,-0.0022,0.0001,0.002,0.0001,-0.0041,-0.0015,0.0001,-0.0002,0.001,-0.003,0,0.0001,0,-0.0036,0.0064,0,-0.0012,-0.0055,-0.001,0,-0.0004,0,0.0084,0.0008,-0.0002,-0.0018,-0.0361,0.0316,-0.0002,-0.0015,-0.0002,0.0087,0.0038,0.0001,0.002,-0.0039,0.0149,-0.0002,0.0095,0.0003,0.0127,0.0029,-0.0002,-0.003,0.0006,0,-0.0002,-0.0004,0.0005,0.0001,0.0008,-0.0003,0.0062,0,-0.0063,-0.0051,0.011,0.0002,0.0074,-0.0162,-0.002,0,0.0002,0.0034,-0.0011,0,0.0018,0.0001,-0.0005,0,0.0004,-0.0001,0.0004,0,0.0003,-0.0003,-0.0002,0,-0.0002,0.0003,0.0044,0.0001,0.0034,0.0038,-0.0534,0.0082,-0.0034,0.0596,-0.0026,0.0085,-0.0007,-0.0581,-0.0029,0.0459,-0.0001,0.0019,-0.0002,0.0005,-0.0001,-0.0002,-0.0044,0,-0.0001,0.0012,0.0025,0.0049,0.0029,-0.0479,0.0456,-0.0288
sp2,10,C,5,-,C,6,0.001,-0.0181,0.0002,-0.0186,-0.0008,-0.1225,0.0202,-0.1394,0.0197,-0.6158,-0.1073,-0.1249,-0.0006,0.0091,-0.0005,-0.0017,0.02,-0.0079,-0.0145,-0.0021,0.0008,-0.0018,-0.0002,-0.008,-0.0008,0.0024,0.0008,0.0005,0.0062,-0.0024,-0.683,-0.6479,-0.0036,-0.0003,-0.0016,0.0085,-0.0085,-0.0008,0.0005,-0.0045,-0.0002,0,0.0002,-0.0011,-0.0008,-0.001,-0.0001,0,0.0001,-0.0006,0,0,0,0.0001,0.0017,0.0043,0,0.0002,-0.001,-0.0055,0.001,0.0001,-0.0024,0.0023,0.0001,-0.0001,0,0.0059,0.0001,0.0033,-0.0065,0.0036,0.0372,0.0029,0.0001,-0.0004,-0.0081,-0.0001,-0.0004,0.0101,0.0006,0.0237,-0.0498,0,-0.0001,0.0112,0.0004,0.0064,-0.004,0.0041,-0.0068,0.0124,0.0003,0.0007,0.0152,-0.0058,0.0056,0,-0.0048,-0.0086,-0.0039,0,0.0004,0.0199,0.0005,0.0076,-0.0081,0.0033,-0.0108,-0.0004,-0.0001,-0.0052,-0.0002,0.0052,-0.0008,-0.0002,-0.0013,0.0008,-0.0007,0.0001,-0.002,-0.0002,0.0001,0.0022,-0.0001,-0.0021,0.0104,0.0037,-0.0001,-0.0031,-0.0004,0.003,0.0051,-0.0001,0.0002,-0.0385,-0.0075,-0.0001,-0.0018,0.0001,0.0107,0.0059,-0.0001,0,-0.0032,-0.0015,0.0001,0.0008,0.0001,0.0001,0.0014,0,0.0012,0.0004,0.0006,-0.0001,-0.0001,0,-0.0001,-0.0003,0,0.0002,-0.0031,-0.0002,0,0.0012,0.0001,-0.0031,0.0001,0,-0.0022,0.0134,0.0062,-0.0001,-0.0102,-0.0006,0.0057,-0.0058,-0.0002,-0.002,0.0004,-0.0001,-0.0005,-0.0001,0,0,-0.0005,-0.0008,0.0008,0,0.0001,0.0004,-0.0002,0.0001,-0.0011,-0.0033,0.0009,0,0.0004,-0.0007,0.0044,-0.0001,-0.0027,0.0048,-0.0018,0.0001,-0.0013,0.0033,-0.0017,0.0001,0.0008,0.0035,0.0004,0,0.0002,0.0012,0.0122,-0.0002,0.0096,-0.0154,0.0004,-0.0029,0.0022,0.003,-0.003,0.0602,-0.0529,0.0505,-0.0564,-0.0024,-0.0296,-0.0572,-0.0082,-0.0033,-0.0084,-0.0004,-0.0458,0.0029,-0.0011,-0.001,0.0024,0.001,0.0018,0.0032,0.0027,-0.0071
