Distance,matrix,(angstroms):,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,C,0,,,,,,,,,,,,,,,,,,,,,,,
2,C,1.4022,0,,,,,,,,,,,,,,,,,,,,,,
3,C,1.402723,2.432575,0,,,,,,,,,,,,,,,,,,,,,
4,C,2.440078,1.416806,2.815848,0,,,,,,,,,,,,,,,,,,,,
5,C,2.813375,2.43982,2.440132,1.403044,0,,,,,,,,,,,,,,,,,,,
6,C,2.439538,2.814565,1.416623,2.432939,1.40249,0,,,,,,,,,,,,,,,,,,
7,C,2.436766,3.718053,1.40397,4.219665,3.719165,2.438612,0,,,,,,,,,,,,,,,,,
8,C,3.712418,4.86025,2.427975,5.06096,4.209496,2.807079,1.397588,0,,,,,,,,,,,,,,,,
9,C,4.208105,5.059376,2.805463,4.861079,3.712886,2.42843,2.422666,1.396977,0,,,,,,,,,,,,,,,
10,C,3.718496,4.218725,2.437852,3.719087,2.437151,1.404332,2.804793,2.423773,1.397954,0,,,,,,,,,,,,,,
11,C,2.435882,1.403797,3.717798,2.438071,3.718674,4.218194,4.872237,6.12026,6.432217,5.62226,0,,,,,,,,,,,,,
12,C,3.711487,2.427766,4.860053,2.806193,4.209147,5.059588,6.120261,7.287142,7.419915,6.433379,1.397341,0,,,,,,,,,,,,
13,C,4.208545,2.806411,5.060507,2.428271,3.713485,4.860911,6.43357,7.421164,7.288462,6.122248,2.423367,1.397551,0,,,,,,,,,,,
14,C,3.718993,2.438548,4.219882,1.404191,2.437793,3.71904,5.623617,6.434596,6.12232,4.87455,2.805012,2.423767,1.398034,0,,,,,,,,,,
15,H,2.682351,2.167432,4.079656,3.426579,4.602879,4.86667,5.010241,6.355451,6.880027,6.249121,1.083664,2.14527,3.398636,3.888536,0,,,,,,,,,
16,H,4.584796,3.407776,5.822482,3.888917,5.291838,6.116461,7.019604,8.242728,8.450168,7.499224,2.152145,1.082747,2.152633,3.403335,2.464422,0,,,,,,,,
17,H,5.290739,3.888631,6.117268,3.408208,4.587236,5.823692,7.4993,8.451671,8.24472,7.022333,3.402164,2.151909,1.082242,2.152836,4.287413,2.476099,0,,,,,,,
18,H,4.604055,3.42745,4.869615,2.168449,2.685557,4.082516,6.252069,6.884428,6.359768,5.014591,3.888661,3.39904,2.145824,1.083797,4.972075,4.288635,2.465406,0,,,,,,
19,H,1.084944,2.158482,2.158436,3.423619,3.898318,3.422933,2.668553,4.060821,4.842277,4.593107,2.668315,4.060388,4.843139,4.593892,2.455679,4.749698,5.907965,5.551713,0,,,,,
20,H,4.603085,4.867824,3.426544,4.081586,2.684027,2.168011,3.888405,3.399092,2.146165,1.083753,6.250055,6.882487,6.358743,5.013578,6.989541,7.964194,7.151037,4.916654,5.550583,0,,,,
21,H,5.29074,6.116395,3.888131,5.823856,4.586523,3.408498,3.402026,2.151691,1.082693,2.152705,7.498227,8.450593,8.244698,7.022287,7.961726,9.492316,9.16565,7.151816,5.907655,2.46555,0,,,
22,H,2.683469,4.080229,2.167746,4.868301,4.603511,3.427075,1.083747,2.14561,3.398107,3.888405,5.01058,6.355711,6.881644,6.250695,4.91146,7.146882,7.962958,6.99168,2.456242,4.971911,4.28748,0,,
23,H,4.585458,5.822387,3.407604,6.117474,5.291791,3.889402,2.151971,1.082343,2.15221,3.403117,7.019354,8.242432,8.451103,7.500091,7.146424,9.162471,9.493051,7.965763,4.749952,4.288591,2.476095,2.46449,0,
24,H,3.897697,3.422711,3.423107,2.158289,1.084324,2.158295,4.593713,4.844108,4.062204,2.669665,4.593088,4.843603,4.062359,2.669775,5.550142,5.909209,4.752702,2.459098,4.982639,2.457959,4.752208,5.550872,5.909325,0
