Distance,matrix,(angstroms):,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,C,0,,,,,,,,,,,,,,,,,,,,,,,
2,C,1.394568,0,,,,,,,,,,,,,,,,,,,,,,
3,C,1.394034,2.422423,0,,,,,,,,,,,,,,,,,,,,,
4,C,2.454451,1.449121,2.819445,0,,,,,,,,,,,,,,,,,,,,
5,C,2.879359,2.509126,2.504858,1.424868,0,,,,,,,,,,,,,,,,,,,
6,C,2.462671,2.828535,1.452721,2.423519,1.426659,0,,,,,,,,,,,,,,,,,,
7,C,2.44757,3.72275,1.427501,4.243716,3.800655,2.491834,0,,,,,,,,,,,,,,,,,
8,C,3.70194,4.849166,2.441185,5.077708,4.2937,2.867277,1.371592,0,,,,,,,,,,,,,,,,
9,C,4.192797,5.043385,2.806118,4.859768,3.767507,2.455293,2.404906,1.416937,0,,,,,,,,,,,,,,,
10,C,3.70837,4.224997,2.428712,3.737819,2.501634,1.416191,2.778441,2.419164,1.372281,0,,,,,,,,,,,,,,
11,C,2.453258,1.425562,3.724178,2.486093,3.799294,4.247779,4.883277,6.103874,6.413082,5.634226,0,,,,,,,,,,,,,
12,C,3.707192,2.4388,4.848141,2.858814,4.281986,5.072818,6.10644,7.24733,7.379506,6.439383,1.372868,0,,,,,,,,,,,,
13,C,4.198097,2.807169,5.043269,2.45048,3.751028,4.852893,6.421492,7.390336,7.248905,6.12805,2.407376,1.415638,0,,,,,,,,,,,
14,C,3.708614,2.429791,4.221884,1.413827,2.483873,3.731521,5.640672,6.453845,6.137659,4.929261,2.779318,2.416736,1.37238,0,,,,,,,,,,
15,H,2.664587,2.164096,4.047695,3.463204,4.668893,4.871175,4.973087,6.284658,6.815487,6.219596,1.091705,2.146666,3.407117,3.870869,0,,,,,,,,,
16,H,4.591724,3.430321,5.816481,3.94895,5.371828,6.136292,7.005674,8.194897,8.402667,7.503081,2.144226,1.090267,2.176412,3.400724,2.48583,0,,,,,,,,
17,H,5.287716,3.897841,6.103412,3.429147,4.616,5.812947,7.487946,8.417875,8.19865,7.0261,3.395087,2.177193,1.090946,2.135552,4.310406,2.507031,0,,,,,,,
18,H,4.582127,3.410377,4.856909,2.138242,2.673202,4.065481,6.257718,6.899179,6.367415,5.060029,3.867601,3.405505,2.135349,1.088289,4.959141,4.301154,2.457689,0,,,,,,
19,H,1.092725,2.155011,2.15441,3.448012,3.971502,3.4551,2.67023,4.033951,4.820603,4.577994,2.681757,4.048372,4.833618,4.582627,2.426617,4.747511,5.9071,5.533577,0,,,,,
20,H,4.585625,4.86623,3.409929,4.084606,2.710155,2.144636,3.861258,3.396564,2.120798,1.083724,6.253117,6.883339,6.35703,5.06606,6.956432,7.962119,7.145109,4.962553,5.531051,0,,,,
21,H,5.281022,6.101414,3.896673,5.820438,4.634063,3.432302,3.39381,2.179722,1.091303,2.133623,7.474703,8.40113,8.194869,7.035496,7.893091,9.431748,9.104372,7.157769,5.89184,2.435828,0,,,
22,H,2.653878,4.040749,2.16453,4.861527,4.665521,3.467837,1.091904,2.145491,3.405345,3.87007,4.971071,6.28882,6.82529,6.224203,4.818625,7.077636,7.909013,6.960911,2.408072,4.952715,4.310261,0,,
23,H,4.584748,5.816248,3.43294,6.141743,5.383994,3.957509,2.143717,1.09037,2.179115,3.403658,7.002144,8.196551,8.417626,7.521399,7.070708,9.104236,9.454479,7.984574,4.729428,4.290638,2.512481,2.485304,0,
24,H,3.961802,3.492902,3.491938,2.190454,1.083441,2.192526,4.681113,4.948513,4.144865,2.776446,4.673438,4.926471,4.115531,2.748765,5.618649,5.996899,4.793905,2.484957,5.054268,2.540612,4.827401,5.621294,6.020908,0
